City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,saint-pierre,-21.3393,55.4781,20.87,68,0,3.09,RE,1694913032
211,fale old settlement,-9.3852,-171.2468,28.59,76,2,5.31,TK,1694912796
212,laojunmiao,39.8333,97.7333,11.04,48,9,1.73,CN,1694913033
213,saint-leu,-21.15,55.2833,20.53,89,3,1.63,RE,1694913033
214,chishmy,54.5765,55.3764,8.13,87,77,1.32,RU,1694913034
215,alappuzha,9.49,76.3264,25.11,88,100,1.41,IN,1694913034
216,valparaiso,-33.0393,-71.6273,12.8,94,0,1.54,CL,1694913014
217,st. john's,47.5649,-52.7093,19.75,96,100,6.17,CA,1694913035
218,maues,-3.3836,-57.7186,27.53,50,62,1.7,BR,1694913037
219,greymouth,-42.4667,171.2,13.59,90,100,10.93,NZ,1694912954
220,toliara,-23.35,43.6667,21.58,82,0,2.29,MG,1694912839
221,rokytne,51.2796,27.214,10.28,95,0,2.78,UA,1694913039
222,uturoa,-16.7333,-151.4333,25.59,82,20,5.21,PF,1694913040
223,faya-largeau,17.9257,19.1043,31.3,15,8,7.12,TD,1694913041
224,mogocha,53.7333,119.7667,10.69,60,100,1.37,RU,1694913041
225,dakhla,23.6848,-15.958,21.08,88,0,8.14,EH,1694913042
226,chui,-33.6971,-53.4616,16.19,94,3,1.64,UY,1694912890
227,qaqortoq,60.7167,-46.0333,2.8,69,0,7.86,GL,1694912811
228,touros,-5.1989,-35.4608,24.32,82,96,5.52,BR,1694913043
229,college,64.8569,-147.8028,15.81,47,75,3.6,US,1694912764
230,sayaxche,16.5167,-90.1667,25.43,86,64,1.55,GT,1694913045
231,taungoo,18.9333,96.4333,24.04,99,100,1.49,MM,1694913046
232,sarkand,45.41,79.9186,10.67,52,2,1.52,KZ,1694913047
233,cabo san lucas,22.8909,-109.9124,32.01,75,0,3.6,MX,1694912940
234,fada,9.5667,8.3,20.42,99,100,1.15,NG,1694912869
235,san antonio de pale,-1.4014,5.6325,24.34,83,84,4.55,GQ,1694912997
236,brookings,44.3114,-96.7984,16.16,73,0,2.57,US,1694912908
237,pariaman,-0.619,100.12,25.03,82,38,2.6,ID,1694913049
238,lakatoro,-16.0999,167.4164,26.88,75,100,5.2,VU,1694913050
239,happy valley-goose bay,53.3168,-60.3315,11.89,81,100,0.6,CA,1694913050
240,remire-montjoly,4.9167,-52.2667,28.02,78,0,3.09,GF,1694913051
241,tual,-5.6667,132.75,25.11,79,100,9.56,ID,1694913052
242,beau vallon,-20.4189,57.6953,22.34,83,75,3.6,MU,1694913049
243,isangel,-19.55,169.2667,27.06,69,75,2.06,VU,1694912868
244,barah,13.7,30.3667,28.83,52,38,3.99,SD,1694913053
245,queenstown,-31.8976,26.8753,5.57,58,100,2.24,ZA,1694912914
246,hell-ville,-13.4,48.2667,24.73,73,47,0.18,MG,1694913054
247,sandnessjoen,66.0217,12.6316,6.29,65,100,4.93,NO,1694913055
248,morant bay,17.8815,-76.4093,26.51,81,100,2.89,JM,1694913055
249,castelo do piaui,-5.3222,-41.5525,25.37,35,4,2.83,BR,1694913056
250,akonolinga,3.7667,12.25,20.95,99,100,2.17,CM,1694913056
251,puerto armuelles,8.2833,-82.8667,27.27,72,100,0.45,PA,1694913057
252,vila franca do campo,37.7167,-25.4333,19.23,99,100,2.84,PT,1694913057
253,abadeh,31.1608,52.6506,16.72,37,0,3.15,IR,1694913058
254,wewak,-3.5534,143.6268,27.22,76,100,1.84,PG,1694913058
255,la palma,33.8464,-118.0467,23.44,80,100,3.09,US,1694913059
256,cole harbour,44.6724,-63.4751,15.66,94,100,6.71,CA,1694913060
257,dedovichi,57.5517,29.9502,7.67,78,100,3.06,RU,1694913060
258,athens,37.9795,23.7162,26.48,47,0,2.68,GR,1694913003
259,al khums,32.6486,14.2619,25.23,62,5,4.13,LY,1694913061
260,eldorado at santa fe,35.5264,-105.9347,21.25,41,0,1.54,US,1694913062
261,moia,41.8101,2.0958,19.42,94,77,0.86,ES,1694913062
262,karakulino,56.012,53.7067,11.79,87,80,2.38,RU,1694913063
